Name	GC-MF-9021-P-WCL-R1	GC-MF-9021-P-NUC-R1	GC-MF-9021-P-CYT-R1	GC-MF-9021-P-MEB-R1	GC-MF-9021-P-WCL-R2	GC-MF-9021-P-NUC-R2	GC-MF-9021-P-CYT-R2	GC-MF-9021-P-MEB-R2	GC-MF-9021-CA-WCL-R1	GC-MF-9021-CA-NUC-R1	GC-MF-9021-CA-CYT-R1	GC-MF-9021-CA-MEB-R1	GC-MF-9021-CA-WCL-R2	GC-MF-9021-CA-NUC-R2	GC-MF-9021-CA-CYT-R2	GC-MF-9021-CA-MEB-R2	
ENST00000516252.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000390955.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516538.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000458985.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516185.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000637707.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000620626.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000390944.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000363231.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000363490.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384064.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000459383.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000517072.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000517121.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000365369.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000517128.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384361.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000459221.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516765.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384197.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384310.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000612437.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384717.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000515898.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000408580.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516073.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000364999.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000364565.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000363893.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000364700.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516317.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000362431.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000583575.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000383971.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000410940.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000364328.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000459215.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000364401.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000517261.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000391171.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516576.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000362684.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000362618.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516259.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000408644.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384277.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000517134.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516264.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000383878.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384475.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000459304.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516813.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000575271.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000515995.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000582199.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000362347.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000390957.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000620968.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384777.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000459600.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000459121.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000515897.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516353.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000362498.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000410556.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516147.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384118.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384180.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000411041.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000362775.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000384181.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000364215.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000516104.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENST00000362511.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
